技グループ所属技マスタ,,,
各グループ: 専用技(is_initial=TRUE) + 共通ノーマル物理技(is_initial=TRUE) + 汎用タイプ技2つ(is_initial=TRUE、一致タイプまたは補完タイプ) + 共通ノーマル特殊技(is_initial=FALSE、技の付け替え候補),,,
int,int,int,bool
unique_id,group_id,move_id,is_initial
1,1001,1,TRUE
2,1001,19,TRUE
3,1001,20,FALSE
4,1002,2,TRUE
5,1002,19,TRUE
6,1002,20,FALSE
7,1003,3,TRUE
8,1003,19,TRUE
9,1003,20,FALSE
10,1004,4,TRUE
11,1004,19,TRUE
12,1004,20,FALSE
13,1005,5,TRUE
14,1005,19,TRUE
15,1005,20,FALSE
16,1006,6,TRUE
17,1006,19,TRUE
18,1006,20,FALSE
19,1007,7,TRUE
20,1007,19,TRUE
21,1007,20,FALSE
22,1008,8,TRUE
23,1008,19,TRUE
24,1008,20,FALSE
25,1009,9,TRUE
26,1009,19,TRUE
27,1009,20,FALSE
28,1010,10,TRUE
29,1010,19,TRUE
30,1010,20,FALSE
31,1011,11,TRUE
32,1011,19,TRUE
33,1011,20,FALSE
34,1012,12,TRUE
35,1012,19,TRUE
36,1012,20,FALSE
37,1013,13,TRUE
38,1013,19,TRUE
39,1013,20,FALSE
40,1014,14,TRUE
41,1014,19,TRUE
42,1014,20,FALSE
43,1015,15,TRUE
44,1015,19,TRUE
45,1015,20,FALSE
46,1016,16,TRUE
47,1016,19,TRUE
48,1016,20,FALSE
49,1017,17,TRUE
50,1017,19,TRUE
51,1017,20,FALSE
52,1018,18,TRUE
53,1018,19,TRUE
54,1018,20,FALSE
55,1019,21,TRUE
56,1019,19,TRUE
57,1019,20,FALSE
58,1020,22,TRUE
59,1020,19,TRUE
60,1020,20,FALSE
61,1021,23,TRUE
62,1021,19,TRUE
63,1021,20,FALSE
64,1022,24,TRUE
65,1022,19,TRUE
66,1022,20,FALSE
67,1023,25,TRUE
68,1023,19,TRUE
69,1023,20,FALSE
70,1024,26,TRUE
71,1024,19,TRUE
72,1024,20,FALSE
73,1025,27,TRUE
74,1025,19,TRUE
75,1025,20,FALSE
76,1026,28,TRUE
77,1026,19,TRUE
78,1026,20,FALSE
79,1027,29,TRUE
80,1027,19,TRUE
81,1027,20,FALSE
82,1028,30,TRUE
83,1028,19,TRUE
84,1028,20,FALSE
85,1029,31,TRUE
86,1029,19,TRUE
87,1029,20,FALSE
88,1030,32,TRUE
89,1030,19,TRUE
90,1030,20,FALSE
91,1031,33,TRUE
92,1031,19,TRUE
93,1031,20,FALSE
94,1032,34,TRUE
95,1032,19,TRUE
96,1032,20,FALSE
97,1033,35,TRUE
98,1033,19,TRUE
99,1033,20,FALSE
100,1034,36,TRUE
101,1034,19,TRUE
102,1034,20,FALSE
103,1035,37,TRUE
104,1035,19,TRUE
105,1035,20,FALSE
106,1036,38,TRUE
107,1036,19,TRUE
108,1036,20,FALSE
109,1001,51,TRUE
110,1001,49,TRUE
111,1002,47,TRUE
112,1002,45,TRUE
113,1003,51,TRUE
114,1003,40,TRUE
115,1004,50,TRUE
116,1004,39,TRUE
117,1005,52,TRUE
118,1005,48,TRUE
119,1006,62,TRUE
120,1006,55,TRUE
121,1007,61,TRUE
122,1007,54,TRUE
123,1008,48,TRUE
124,1008,39,TRUE
125,1009,54,TRUE
126,1009,61,TRUE
127,1010,56,TRUE
128,1010,48,TRUE
129,1011,64,TRUE
130,1011,43,TRUE
131,1012,63,TRUE
132,1012,44,TRUE
133,1013,61,TRUE
134,1013,39,TRUE
135,1014,56,TRUE
136,1014,42,TRUE
137,1015,59,TRUE
138,1015,46,TRUE
139,1016,42,TRUE
140,1016,39,TRUE
141,1017,57,TRUE
142,1017,49,TRUE
143,1018,58,TRUE
144,1018,49,TRUE
145,1019,48,TRUE
146,1019,44,TRUE
147,1020,45,TRUE
148,1020,64,TRUE
149,1021,60,TRUE
150,1021,43,TRUE
151,1022,64,TRUE
152,1022,41,TRUE
153,1023,41,TRUE
154,1023,43,TRUE
155,1024,53,TRUE
156,1024,49,TRUE
157,1025,44,TRUE
158,1025,42,TRUE
159,1026,40,TRUE
160,1026,55,TRUE
161,1027,52,TRUE
162,1027,48,TRUE
163,1028,43,TRUE
164,1028,49,TRUE
165,1029,57,TRUE
166,1029,49,TRUE
167,1030,50,TRUE
168,1030,39,TRUE
169,1031,58,TRUE
170,1031,45,TRUE
171,1032,44,TRUE
172,1032,48,TRUE
173,1033,40,TRUE
174,1033,49,TRUE
175,1034,62,TRUE
176,1034,43,TRUE
177,1035,61,TRUE
178,1035,44,TRUE
179,1036,47,TRUE
180,1036,45,TRUE
