技グループマスタ,
仮データとして1パチモンにつき1グループ(pachimon_idと同値)。nameはグループの管理ラベル(仮データではパチモン名を流用),
int,string
move_group_id,name
1001,イフリーガ
1002,ネクロファント
1003,ワイアーガ
1004,バンシーガ
1005,メタリオン
1006,オーラケット
1007,ガードビートル
1008,サンドドレイク
1009,ドスグラウド
1010,アイアンシェイド
1011,アクアフェアト
1012,プランケット
1013,ガンメタウィング
1014,ヌシウーオ
1015,ノラネコート
1016,フブキドラガ
1017,オウゴンレイス
1018,リュウガネ
1019,ブレイズホッパー
1020,サイコビーコン
1021,シャドースプラッシュ
1022,ユキビャッコ
1023,アクアポルガ
1024,フレイムセイジ
1025,サンダーグローブ
1026,インフェルモス
1027,クロスマグナ
1028,ハイドロシェル
1029,ボーンフレイム
1030,オオゾラリュウ
1031,トリプルドラガ
1032,ブレイズコッコ
1033,シフォンテール
1034,コウテイガード
1035,アックスキング
1036,シャドーグリン
