技マスタ,,,,,
1-18は各パチモン専用技(タイプ一致・攻撃/特攻の高い方に合わせたカテゴリ)。19,20は全グループ共通の汎用技。21-38はパチモン1019-1036の専用技(同じ命名規則)。39-64は初期技を4つにするための汎用タイプ技(物理=○○エッジ等/特殊=○○ショット、威力75・命中100・PP20),,,,,
int,string,enum,enum,int,int,int
move_id,name,move_type,category,base_power,accuracy,max_pp
1,フレイムバースト,ほのお,特殊,90,100,15
2,シャドウバースト,ゴースト,特殊,90,100,15
3,ドラゴンブラスト,ドラゴン,特殊,90,100,15
4,ドラゴンズブレイド,ドラゴン,物理,90,100,15
5,メタルプレス,はがね,物理,90,100,15
6,オーラブラスト,かくとう,特殊,90,100,15
7,シェルクラッシュ,むし,物理,90,100,15
8,ドラゴンファング,ドラゴン,物理,90,100,15
9,グラウンドスタンプ,じめん,物理,90,100,15
10,アイアンプレス,はがね,物理,90,100,15
11,アクアバースト,みず,特殊,90,100,15
12,シャドウパペット,ゴースト,物理,90,100,15
13,ウィングクラッシュ,ひこう,物理,90,100,15
14,タイダルクロー,みず,物理,90,100,15
15,リーフクロー,くさ,物理,90,100,15
16,ドラゴンフロスト,ドラゴン,物理,90,100,15
17,ゴールデンブラスト,はがね,特殊,90,100,15
18,スチールノヴァ,はがね,特殊,90,100,15
19,ぶつかり,ノーマル,物理,40,100,35
20,エナジーウェーブ,ノーマル,特殊,40,100,35
21,ブレイズキック,ほのお,物理,90,100,15
22,サイキックパルス,エスパー,特殊,90,100,15
23,アクアパルス,みず,特殊,90,100,15
24,アイスミスト,こおり,特殊,90,100,15
25,サンダーサージ,でんき,特殊,90,100,15
26,フレイムスパイラル,ほのお,特殊,90,100,15
27,サンダーグラップル,でんき,物理,90,100,15
28,スコーチダスト,むし,特殊,90,100,15
29,メテオクラッシュ,はがね,物理,90,100,15
30,ハイドロキャノン,みず,特殊,90,100,15
31,レクイエムフレイム,ほのお,特殊,90,100,15
32,ドラゴンラッシュ,ドラゴン,物理,90,100,15
33,ダークバースト,あく,特殊,90,100,15
34,フレイムニーキック,ほのお,物理,90,100,15
35,フェアリーウェーブ,フェアリー,特殊,90,100,15
36,アクアプレッシャー,みず,特殊,90,100,15
37,ダークエッジ,あく,物理,90,100,15
38,シャドウリーパー,ゴースト,特殊,90,100,15
39,バーニングタックル,ほのお,物理,75,100,20
40,ヒートショット,ほのお,特殊,75,100,20
41,ハイドロショット,みず,特殊,75,100,20
42,フロストファング,こおり,物理,75,100,20
43,フロストショット,こおり,特殊,75,100,20
44,パワーナックル,かくとう,物理,75,100,20
45,ファイトショット,かくとう,特殊,75,100,20
46,ベノムファング,どく,物理,75,100,20
47,ベノムショット,どく,特殊,75,100,20
48,アースクエイカー,じめん,物理,75,100,20
49,アースショット,じめん,特殊,75,100,20
50,スカイダイブ,ひこう,物理,75,100,20
51,エアショット,ひこう,特殊,75,100,20
52,サイコエッジ,エスパー,物理,75,100,20
53,サイコショット,エスパー,特殊,75,100,20
54,ロックスマッシュ,いわ,物理,75,100,20
55,ロックショット,いわ,特殊,75,100,20
56,ゴーストファング,ゴースト,物理,75,100,20
57,ゴーストショット,ゴースト,特殊,75,100,20
58,ドラゴンショット,ドラゴン,特殊,75,100,20
59,ダーククロー,あく,物理,75,100,20
60,ダークショット,あく,特殊,75,100,20
61,スチールエッジ,はがね,物理,75,100,20
62,スチールショット,はがね,特殊,75,100,20
63,フェアリーエッジ,フェアリー,物理,75,100,20
64,フェアリーショット,フェアリー,特殊,75,100,20
