パチモンマスタ,,,,,,,,,,,
出典: gamewith.jp「ポケモンチャンピオンズ」SS環境トップ18体(1001-1018)および使用率ランキング19-36位(1019-1036、rarity A/B/C各6体)の種族値/タイプを参考値として流用(名称は商標混同回避のためオリジナル)。move_group_idは仮データとしてpachimon_idと同値(1パチモン=1グループ)にしているが、スキーマ上は独立したFKで将来的な共有も可能,,,,,,,,,,,
int,string,enum,enum,int,int,int,int,int,int,enum,int
pachimon_id,name,primary_type,secondary_type,base_hp,base_atk,base_def,base_spatk,base_spdef,base_speed,rarity,move_group_id
1001,イフリーガ,ほのお,ひこう,78,104,78,159,115,100,S,1001
1002,ネクロファント,ゴースト,どく,60,65,80,170,95,130,S,1002
1003,ワイアーガ,ドラゴン,ひこう,91,124,115,145,125,100,S,1003
1004,バンシーガ,ドラゴン,ひこう,95,145,130,120,90,120,S,1004
1005,メタリオン,はがね,エスパー,80,145,150,105,110,110,S,1005
1006,オーラケット,かくとう,はがね,70,100,70,164,70,151,S,1006
1007,ガードビートル,むし,はがね,75,150,175,70,120,40,S,1007
1008,サンドドレイク,ドラゴン,じめん,108,130,95,80,85,102,S,1008
1009,ドスグラウド,じめん,NONE,108,112,118,68,72,47,S,1009
1010,アイアンシェイド,はがね,ゴースト,60,50,140,50,140,60,S,1010
1011,アクアフェアト,みず,フェアリー,80,74,74,126,116,60,S,1011
1012,プランケット,ゴースト,フェアリー,55,90,80,50,105,96,S,1012
1013,ガンメタウィング,ひこう,はがね,98,87,105,53,85,67,S,1013
1014,ヌシウーオ,みず,ゴースト,120,112,65,80,75,78,S,1014
1015,ノラネコート,くさ,あく,76,110,70,81,70,123,S,1015
1016,フブキドラガ,ドラゴン,こおり,115,145,92,75,86,87,S,1016
1017,オウゴンレイス,はがね,ゴースト,87,60,95,133,91,84,S,1017
1018,リュウガネ,はがね,ドラゴン,90,105,130,125,65,85,S,1018
1019,ブレイズホッパー,ほのお,NONE,80,116,75,65,75,119,A,1019
1020,サイコビーコン,エスパー,ノーマル,60,65,55,105,95,95,A,1020
1021,シャドースプラッシュ,みず,あく,72,95,67,103,71,122,A,1021
1022,ユキビャッコ,こおり,フェアリー,73,67,75,81,100,109,A,1022
1023,アクアポルガ,でんき,みず,50,65,107,105,107,86,A,1023
1024,フレイムセイジ,ほのお,エスパー,75,69,72,114,100,104,A,1024
1025,サンダーグローブ,でんき,かくとう,70,115,70,70,60,105,B,1025
1026,インフェルモス,むし,ほのお,85,60,65,135,105,100,B,1026
1027,クロスマグナ,はがね,エスパー,80,135,130,95,90,70,B,1027
1028,ハイドロシェル,みず,NONE,79,83,100,85,105,78,B,1028
1029,ボーンフレイム,ほのお,ゴースト,104,75,100,110,75,66,B,1029
1030,オオゾラリュウ,ドラゴン,ひこう,91,134,95,100,100,80,B,1030
1031,トリプルドラガ,あく,ドラゴン,92,105,90,125,90,98,C,1031
1032,ブレイズコッコ,ほのお,かくとう,80,120,70,110,70,80,C,1032
1033,シフォンテール,フェアリー,NONE,95,65,65,110,130,60,C,1033
1034,コウテイガード,みず,はがね,84,86,88,111,101,60,C,1034
1035,アックスキング,あく,はがね,100,135,120,60,85,50,C,1035
1036,シャドーグリン,ゴースト,どく,60,65,60,130,75,110,C,1036
