タイプ相性マスタ,,,
第9世代準拠の標準タイプ相性(フェアリー導入後、Gen6~9で変更なし)。単体タイプ同士のみ。複合タイプの掛け合わせはAtlas.BattleCore側で実行時に計算,,,
int,enum,enum,enum
type_chart_id,attack_type,defend_type,effectiveness
1,ノーマル,ノーマル,通常
2,ノーマル,ほのお,通常
3,ノーマル,みず,通常
4,ノーマル,でんき,通常
5,ノーマル,くさ,通常
6,ノーマル,こおり,通常
7,ノーマル,かくとう,通常
8,ノーマル,どく,通常
9,ノーマル,じめん,通常
10,ノーマル,ひこう,通常
11,ノーマル,エスパー,通常
12,ノーマル,むし,通常
13,ノーマル,いわ,いまひとつ
14,ノーマル,ゴースト,無効
15,ノーマル,ドラゴン,通常
16,ノーマル,あく,通常
17,ノーマル,はがね,いまひとつ
18,ノーマル,フェアリー,通常
19,ほのお,ノーマル,通常
20,ほのお,ほのお,いまひとつ
21,ほのお,みず,いまひとつ
22,ほのお,でんき,通常
23,ほのお,くさ,抜群
24,ほのお,こおり,抜群
25,ほのお,かくとう,通常
26,ほのお,どく,通常
27,ほのお,じめん,通常
28,ほのお,ひこう,通常
29,ほのお,エスパー,通常
30,ほのお,むし,抜群
31,ほのお,いわ,いまひとつ
32,ほのお,ゴースト,通常
33,ほのお,ドラゴン,いまひとつ
34,ほのお,あく,通常
35,ほのお,はがね,抜群
36,ほのお,フェアリー,通常
37,みず,ノーマル,通常
38,みず,ほのお,抜群
39,みず,みず,いまひとつ
40,みず,でんき,通常
41,みず,くさ,いまひとつ
42,みず,こおり,通常
43,みず,かくとう,通常
44,みず,どく,通常
45,みず,じめん,抜群
46,みず,ひこう,通常
47,みず,エスパー,通常
48,みず,むし,通常
49,みず,いわ,抜群
50,みず,ゴースト,通常
51,みず,ドラゴン,いまひとつ
52,みず,あく,通常
53,みず,はがね,通常
54,みず,フェアリー,通常
55,でんき,ノーマル,通常
56,でんき,ほのお,通常
57,でんき,みず,抜群
58,でんき,でんき,いまひとつ
59,でんき,くさ,いまひとつ
60,でんき,こおり,通常
61,でんき,かくとう,通常
62,でんき,どく,通常
63,でんき,じめん,無効
64,でんき,ひこう,抜群
65,でんき,エスパー,通常
66,でんき,むし,通常
67,でんき,いわ,通常
68,でんき,ゴースト,通常
69,でんき,ドラゴン,いまひとつ
70,でんき,あく,通常
71,でんき,はがね,通常
72,でんき,フェアリー,通常
73,くさ,ノーマル,通常
74,くさ,ほのお,いまひとつ
75,くさ,みず,抜群
76,くさ,でんき,通常
77,くさ,くさ,いまひとつ
78,くさ,こおり,通常
79,くさ,かくとう,通常
80,くさ,どく,いまひとつ
81,くさ,じめん,抜群
82,くさ,ひこう,いまひとつ
83,くさ,エスパー,通常
84,くさ,むし,いまひとつ
85,くさ,いわ,抜群
86,くさ,ゴースト,通常
87,くさ,ドラゴン,いまひとつ
88,くさ,あく,通常
89,くさ,はがね,いまひとつ
90,くさ,フェアリー,通常
91,こおり,ノーマル,通常
92,こおり,ほのお,いまひとつ
93,こおり,みず,いまひとつ
94,こおり,でんき,通常
95,こおり,くさ,抜群
96,こおり,こおり,いまひとつ
97,こおり,かくとう,通常
98,こおり,どく,通常
99,こおり,じめん,抜群
100,こおり,ひこう,抜群
101,こおり,エスパー,通常
102,こおり,むし,通常
103,こおり,いわ,通常
104,こおり,ゴースト,通常
105,こおり,ドラゴン,抜群
106,こおり,あく,通常
107,こおり,はがね,いまひとつ
108,こおり,フェアリー,通常
109,かくとう,ノーマル,抜群
110,かくとう,ほのお,通常
111,かくとう,みず,通常
112,かくとう,でんき,通常
113,かくとう,くさ,通常
114,かくとう,こおり,抜群
115,かくとう,かくとう,通常
116,かくとう,どく,いまひとつ
117,かくとう,じめん,通常
118,かくとう,ひこう,いまひとつ
119,かくとう,エスパー,いまひとつ
120,かくとう,むし,いまひとつ
121,かくとう,いわ,抜群
122,かくとう,ゴースト,無効
123,かくとう,ドラゴン,通常
124,かくとう,あく,抜群
125,かくとう,はがね,抜群
126,かくとう,フェアリー,いまひとつ
127,どく,ノーマル,通常
128,どく,ほのお,通常
129,どく,みず,通常
130,どく,でんき,通常
131,どく,くさ,抜群
132,どく,こおり,通常
133,どく,かくとう,通常
134,どく,どく,いまひとつ
135,どく,じめん,いまひとつ
136,どく,ひこう,通常
137,どく,エスパー,通常
138,どく,むし,通常
139,どく,いわ,いまひとつ
140,どく,ゴースト,いまひとつ
141,どく,ドラゴン,通常
142,どく,あく,通常
143,どく,はがね,無効
144,どく,フェアリー,抜群
145,じめん,ノーマル,通常
146,じめん,ほのお,抜群
147,じめん,みず,通常
148,じめん,でんき,抜群
149,じめん,くさ,いまひとつ
150,じめん,こおり,通常
151,じめん,かくとう,通常
152,じめん,どく,抜群
153,じめん,じめん,通常
154,じめん,ひこう,無効
155,じめん,エスパー,通常
156,じめん,むし,いまひとつ
157,じめん,いわ,抜群
158,じめん,ゴースト,通常
159,じめん,ドラゴン,通常
160,じめん,あく,通常
161,じめん,はがね,抜群
162,じめん,フェアリー,通常
163,ひこう,ノーマル,通常
164,ひこう,ほのお,通常
165,ひこう,みず,通常
166,ひこう,でんき,いまひとつ
167,ひこう,くさ,抜群
168,ひこう,こおり,通常
169,ひこう,かくとう,抜群
170,ひこう,どく,通常
171,ひこう,じめん,通常
172,ひこう,ひこう,通常
173,ひこう,エスパー,通常
174,ひこう,むし,抜群
175,ひこう,いわ,いまひとつ
176,ひこう,ゴースト,通常
177,ひこう,ドラゴン,通常
178,ひこう,あく,通常
179,ひこう,はがね,いまひとつ
180,ひこう,フェアリー,通常
181,エスパー,ノーマル,通常
182,エスパー,ほのお,通常
183,エスパー,みず,通常
184,エスパー,でんき,通常
185,エスパー,くさ,通常
186,エスパー,こおり,通常
187,エスパー,かくとう,抜群
188,エスパー,どく,抜群
189,エスパー,じめん,通常
190,エスパー,ひこう,通常
191,エスパー,エスパー,いまひとつ
192,エスパー,むし,通常
193,エスパー,いわ,通常
194,エスパー,ゴースト,通常
195,エスパー,ドラゴン,通常
196,エスパー,あく,無効
197,エスパー,はがね,いまひとつ
198,エスパー,フェアリー,通常
199,むし,ノーマル,通常
200,むし,ほのお,いまひとつ
201,むし,みず,通常
202,むし,でんき,通常
203,むし,くさ,抜群
204,むし,こおり,通常
205,むし,かくとう,いまひとつ
206,むし,どく,いまひとつ
207,むし,じめん,通常
208,むし,ひこう,いまひとつ
209,むし,エスパー,抜群
210,むし,むし,通常
211,むし,いわ,通常
212,むし,ゴースト,いまひとつ
213,むし,ドラゴン,通常
214,むし,あく,抜群
215,むし,はがね,いまひとつ
216,むし,フェアリー,いまひとつ
217,いわ,ノーマル,通常
218,いわ,ほのお,抜群
219,いわ,みず,通常
220,いわ,でんき,通常
221,いわ,くさ,通常
222,いわ,こおり,抜群
223,いわ,かくとう,いまひとつ
224,いわ,どく,通常
225,いわ,じめん,いまひとつ
226,いわ,ひこう,抜群
227,いわ,エスパー,通常
228,いわ,むし,抜群
229,いわ,いわ,通常
230,いわ,ゴースト,通常
231,いわ,ドラゴン,通常
232,いわ,あく,通常
233,いわ,はがね,いまひとつ
234,いわ,フェアリー,通常
235,ゴースト,ノーマル,無効
236,ゴースト,ほのお,通常
237,ゴースト,みず,通常
238,ゴースト,でんき,通常
239,ゴースト,くさ,通常
240,ゴースト,こおり,通常
241,ゴースト,かくとう,通常
242,ゴースト,どく,通常
243,ゴースト,じめん,通常
244,ゴースト,ひこう,通常
245,ゴースト,エスパー,抜群
246,ゴースト,むし,通常
247,ゴースト,いわ,通常
248,ゴースト,ゴースト,抜群
249,ゴースト,ドラゴン,通常
250,ゴースト,あく,いまひとつ
251,ゴースト,はがね,通常
252,ゴースト,フェアリー,通常
253,ドラゴン,ノーマル,通常
254,ドラゴン,ほのお,通常
255,ドラゴン,みず,通常
256,ドラゴン,でんき,通常
257,ドラゴン,くさ,通常
258,ドラゴン,こおり,通常
259,ドラゴン,かくとう,通常
260,ドラゴン,どく,通常
261,ドラゴン,じめん,通常
262,ドラゴン,ひこう,通常
263,ドラゴン,エスパー,通常
264,ドラゴン,むし,通常
265,ドラゴン,いわ,通常
266,ドラゴン,ゴースト,通常
267,ドラゴン,ドラゴン,抜群
268,ドラゴン,あく,通常
269,ドラゴン,はがね,いまひとつ
270,ドラゴン,フェアリー,無効
271,あく,ノーマル,通常
272,あく,ほのお,通常
273,あく,みず,通常
274,あく,でんき,通常
275,あく,くさ,通常
276,あく,こおり,通常
277,あく,かくとう,いまひとつ
278,あく,どく,通常
279,あく,じめん,通常
280,あく,ひこう,通常
281,あく,エスパー,抜群
282,あく,むし,通常
283,あく,いわ,通常
284,あく,ゴースト,抜群
285,あく,ドラゴン,通常
286,あく,あく,いまひとつ
287,あく,はがね,通常
288,あく,フェアリー,いまひとつ
289,はがね,ノーマル,通常
290,はがね,ほのお,いまひとつ
291,はがね,みず,いまひとつ
292,はがね,でんき,いまひとつ
293,はがね,くさ,通常
294,はがね,こおり,抜群
295,はがね,かくとう,通常
296,はがね,どく,通常
297,はがね,じめん,通常
298,はがね,ひこう,通常
299,はがね,エスパー,通常
300,はがね,むし,通常
301,はがね,いわ,抜群
302,はがね,ゴースト,通常
303,はがね,ドラゴン,通常
304,はがね,あく,通常
305,はがね,はがね,いまひとつ
306,はがね,フェアリー,抜群
307,フェアリー,ノーマル,通常
308,フェアリー,ほのお,いまひとつ
309,フェアリー,みず,通常
310,フェアリー,でんき,通常
311,フェアリー,くさ,通常
312,フェアリー,こおり,通常
313,フェアリー,かくとう,抜群
314,フェアリー,どく,いまひとつ
315,フェアリー,じめん,通常
316,フェアリー,ひこう,通常
317,フェアリー,エスパー,通常
318,フェアリー,むし,通常
319,フェアリー,いわ,通常
320,フェアリー,ゴースト,通常
321,フェアリー,ドラゴン,抜群
322,フェアリー,あく,抜群
323,フェアリー,はがね,いまひとつ
324,フェアリー,フェアリー,通常
